date,image_name,total_components,components_kept,components_rejected,retention_rate_pct,area_min,area_median,area_max
19.10,larva_003,1,0,1,0.0,0,0.0,0
19.10,larva_004,1,0,1,0.0,0,0.0,0
19.10,larva_005,7,1,6,14.3,153,153.0,153
19.10,larva_006,1,0,1,0.0,0,0.0,0
19.10,larva_007,1,0,1,0.0,0,0.0,0
19.10,larva_008,1,0,1,0.0,0,0.0,0
19.10,larva_009,1,0,1,0.0,0,0.0,0
19.10,larva_010,1,0,1,0.0,0,0.0,0
19.10,larva_011,1,0,1,0.0,0,0.0,0
19.10,larva_012,1,0,1,0.0,0,0.0,0
19.10,larva_013,1,0,1,0.0,0,0.0,0
19.10,larva_014,1,0,1,0.0,0,0.0,0
19.10,larva_015,1,0,1,0.0,0,0.0,0
19.10,larva_016,1,0,1,0.0,0,0.0,0
19.10,larva_017,1,0,1,0.0,0,0.0,0
19.10,larva_018,1,0,1,0.0,0,0.0,0
19.10,larva_019,1,0,1,0.0,0,0.0,0
19.10,larva_020,1,0,1,0.0,0,0.0,0
19.10,larva_021,1,0,1,0.0,0,0.0,0
19.10,larva_022,1,0,1,0.0,0,0.0,0
19.10,larva_001,1,0,1,0.0,0,0.0,0
19.10,larva_002,1,0,1,0.0,0,0.0,0
19.10,larva_003,1,0,1,0.0,0,0.0,0
19.10,larva_004,1,0,1,0.0,0,0.0,0
19.10,larva_005,1,0,1,0.0,0,0.0,0
19.10,larva_006,1,0,1,0.0,0,0.0,0
19.10,larva_007,1,0,1,0.0,0,0.0,0
19.10,larva_008,1,0,1,0.0,0,0.0,0
19.10,larva_009,1,0,1,0.0,0,0.0,0
19.10,larva_010,1,0,1,0.0,0,0.0,0
19.10,larva_011,1,0,1,0.0,0,0.0,0
19.10,larva_012,1,0,1,0.0,0,0.0,0
19.10,larva_013,1,0,1,0.0,0,0.0,0
19.10,larva_014,1,0,1,0.0,0,0.0,0
19.10,larva_015,1,0,1,0.0,0,0.0,0
19.10,larva_016,1,0,1,0.0,0,0.0,0
19.10,larva_017,1,0,1,0.0,0,0.0,0
19.10,larva_018,1,0,1,0.0,0,0.0,0
19.10,larva_019,1,0,1,0.0,0,0.0,0
19.10,larva_020,1,0,1,0.0,0,0.0,0
19.10,larva_021,1,0,1,0.0,0,0.0,0
19.10,larva_022,1,0,1,0.0,0,0.0,0
19.10,larva_023,1,0,1,0.0,0,0.0,0
19.10,larva_001,3,0,3,0.0,0,0.0,0
19.10,larva_002,1,0,1,0.0,0,0.0,0
19.10,larva_003,1,0,1,0.0,0,0.0,0
19.10,larva_004,1,0,1,0.0,0,0.0,0
19.10,larva_005,1,0,1,0.0,0,0.0,0
20.10,larva_001,1,0,1,0.0,0,0.0,0
20.10,larva_002,1,0,1,0.0,0,0.0,0
20.10,larva_003,1,0,1,0.0,0,0.0,0
20.10,larva_004,1,0,1,0.0,0,0.0,0
20.10,larva_005,6,1,5,16.7,229,229.0,229
20.10,larva_006,1,0,1,0.0,0,0.0,0
20.10,larva_007,1,0,1,0.0,0,0.0,0
20.10,larva_008,1,0,1,0.0,0,0.0,0
20.10,larva_009,1,0,1,0.0,0,0.0,0
20.10,larva_010,1,0,1,0.0,0,0.0,0
20.10,larva_011,1,0,1,0.0,0,0.0,0
20.10,larva_012,1,0,1,0.0,0,0.0,0
20.10,larva_013,1,0,1,0.0,0,0.0,0
20.10,larva_014,1,0,1,0.0,0,0.0,0
20.10,larva_015,1,0,1,0.0,0,0.0,0
20.10,larva_016,6,2,4,33.3,149,175.5,202
20.10,larva_001,1,0,1,0.0,0,0.0,0
20.10,larva_002,1,0,1,0.0,0,0.0,0
20.10,larva_003,1,0,1,0.0,0,0.0,0
20.10,larva_004,1,0,1,0.0,0,0.0,0
20.10,larva_005,1,0,1,0.0,0,0.0,0
20.10,larva_006,1,0,1,0.0,0,0.0,0
20.10,larva_007,4,2,2,50.0,81,150.0,219
20.10,larva_008,1,0,1,0.0,0,0.0,0
20.10,larva_009,1,0,1,0.0,0,0.0,0
20.10,larva_010,1,0,1,0.0,0,0.0,0
20.10,larva_011,1,0,1,0.0,0,0.0,0
20.10,larva_012,1,0,1,0.0,0,0.0,0
20.10,larva_013,1,0,1,0.0,0,0.0,0
20.10,larva_014,1,0,1,0.0,0,0.0,0
20.10,larva_015,1,0,1,0.0,0,0.0,0
20.10,larva_016,1,0,1,0.0,0,0.0,0
20.10,larva_017,1,0,1,0.0,0,0.0,0
20.10,larva_018,4,1,3,25.0,219,219.0,219
20.10,larva_001,1,0,1,0.0,0,0.0,0
20.10,larva_002,1,0,1,0.0,0,0.0,0
20.10,larva_003,1,0,1,0.0,0,0.0,0
20.10,larva_004,2,0,2,0.0,0,0.0,0
20.10,larva_005,1,0,1,0.0,0,0.0,0
20.10,larva_006,1,0,1,0.0,0,0.0,0
20.10,larva_007,1,0,1,0.0,0,0.0,0
20.10,larva_008,1,0,1,0.0,0,0.0,0
20.10,larva_009,3,1,2,33.3,298,298.0,298
20.10,larva_010,2,0,2,0.0,0,0.0,0
20.10,larva_011,1,0,1,0.0,0,0.0,0
20.10,larva_012,1,0,1,0.0,0,0.0,0
20.10,larva_013,1,0,1,0.0,0,0.0,0
20.10,larva_014,1,0,1,0.0,0,0.0,0
20.10,larva_015,1,0,1,0.0,0,0.0,0
20.10,larva_016,1,0,1,0.0,0,0.0,0
21.10,larva_001,1,0,1,0.0,0,0.0,0
21.10,larva_002,2,0,2,0.0,0,0.0,0
21.10,larva_003,1,0,1,0.0,0,0.0,0
21.10,larva_004,1,0,1,0.0,0,0.0,0
21.10,larva_005,1,0,1,0.0,0,0.0,0
21.10,larva_006,1,0,1,0.0,0,0.0,0
21.10,larva_007,1,0,1,0.0,0,0.0,0
21.10,larva_008,1,0,1,0.0,0,0.0,0
21.10,larva_009,4,0,4,0.0,0,0.0,0
21.10,larva_010,1,0,1,0.0,0,0.0,0
21.10,larva_011,1,0,1,0.0,0,0.0,0
21.10,larva_012,1,0,1,0.0,0,0.0,0
21.10,larva_013,1,0,1,0.0,0,0.0,0
21.10,larva_014,9,0,9,0.0,0,0.0,0
21.10,larva_001,4,0,4,0.0,0,0.0,0
